algorithm,suite,problem,dim,num_runs,pop_size,max_iter,fes_per_run_nominal,penalty_factor,feasibility_tol,feasible_rate,ranking_score,best_feasible_obj,mean_feasible_obj,std_feasible_obj,median_feasible_obj,mean_raw_obj,std_raw_obj,best_raw_obj,median_raw_obj,mean_penalized,std_penalized,best_penalized,median_penalized,mean_max_violation,best_max_violation,median_max_violation,elapsed_sec
EO,Engineering,three_bar_truss,2,30,30,1000,30000,10000000000.0,1e-06,1.0,263.8977450151681,263.89588544109057,263.8977450151681,0.0019865250685686,263.8974736515625,263.8977450151681,0.0019865250685686,263.89588544109057,263.8974736515625,263.89774536060173,0.0019864803065348,263.8958859925366,263.8974741258173,5.283152093582544e-09,0.0,6.4545995215326e-09,1.1444389820098877
EO,Engineering,tension_spring,3,30,30,1000,30000,10000000000.0,1e-06,1.0,0.0128129639295015,0.0126674662881612,0.0128129639295015,0.00023402309265,0.0127196419040018,0.0128129639295015,0.00023402309265,0.0126674662881612,0.0127196419040018,0.0128129639295015,0.00023402309265,0.0126674662881612,0.0127196419040018,0.0,0.0,0.0,1.208928108215332
EO,Engineering,welded_beam,4,30,30,1000,30000,10000000000.0,1e-06,1.0,1.7258032326409931,1.7250643663744727,1.7258032326409931,0.0007302530898318,1.7255574301311165,1.7258032326409931,0.0007302530898318,1.7250643663744727,1.7255574301311165,1.7258032326409931,0.0007302530898318,1.7250643663744727,1.7255574301311165,0.0,0.0,0.0,1.6683087348937988
EO,Engineering,pressure_vessel,4,30,30,1000,30000,10000000000.0,1e-06,1.0,6528.015156841009,6059.71435165551,6528.015156841009,572.7995355220432,6090.691542093212,6528.015156841009,572.7995355220432,6059.71435165551,6090.691542093212,6528.015156844903,572.79953551886,6059.714351772314,6090.691542093212,1.1392234563108635e-10,0.0,0.0,1.4137935638427734
EO,Engineering,speed_reducer,7,30,30,1000,30000,10000000000.0,1e-06,1.0,2994.70375682477,2994.5101396304867,2994.70375682477,0.1310361728951266,2994.6817516980536,2994.70375682477,0.1310361728951266,2994.5101396304867,2994.6817516980536,2994.70375682477,0.1310361728951266,2994.5101396304867,2994.6817516980536,0.0,0.0,0.0,1.6587200164794922
SVOA,Engineering,three_bar_truss,2,30,30,1000,30000,10000000000.0,1e-06,1.0,263.8976460785633,263.8958468426863,263.8976460785633,0.0027515652738033,263.8965167649353,263.8976460785633,0.0027515652738033,263.8958468426863,263.8965167649353,263.89764614293745,0.0027515232013672,263.8958487739104,263.8965167649353,4.6322830016265466e-10,0.0,0.0,11.48169445991516
SVOA,Engineering,tension_spring,3,30,30,1000,30000,10000000000.0,1e-06,1.0,0.0130561937856742,0.0127391969678866,0.0130561937856742,0.0002544290119605,0.0130006855977859,0.0130561937856742,0.0002544290119605,0.0127391969678866,0.0130006855977859,0.0130561937856742,0.0002544290119605,0.0127391969678866,0.0130006855977859,0.0,0.0,0.0,11.542320251464844
SVOA,Engineering,welded_beam,4,30,30,1000,30000,10000000000.0,1e-06,1.0,1.771826446220076,1.7436455585273531,1.771826446220076,0.0297726991096944,1.758496708793634,1.771826446220076,0.0297726991096944,1.7436455585273531,1.758496708793634,1.771826446255344,0.0297726991969213,1.7436455585273531,1.758496708793634,1.0842557407464426e-11,0.0,0.0,12.252461433410645
SVOA,Engineering,pressure_vessel,4,30,30,1000,30000,10000000000.0,1e-06,0.9666666666666668,6336.1900222448,6092.774250238311,6343.285585404504,213.87942648130175,6412.493448510539,6335.040256024385,214.9213197364361,6092.774250238311,6411.994507904008,6336.1900222448,213.7280021810089,6092.774250238311,6411.994507904008,1.9576910042321907e-06,0.0,0.0,4.168898582458496
SVOA,Engineering,speed_reducer,7,30,30,1000,30000,10000000000.0,1e-06,1.0,3092.3476956045783,3035.6465860727017,3092.3476956045783,38.24103175431608,3084.366280251964,3092.3476956045783,38.24103175431608,3035.6465860727017,3084.366280251964,3092.3476956045783,38.24103175431608,3035.6465860727017,3084.366280251964,0.0,0.0,0.0,5.222333192825317
