algorithm,fn_id,dim,num_runs,pop_size,max_iter,fes_per_run,mean_error,std_error,min_error,median_error,max_error,logscore,elapsed_sec
SCA,8,10,30,30,1000,30000,34.25084435472924,2.7573129944539625,27.76673166941282,33.98572057726187,39.66095919239069,1.5332314764945758,1.451188325881958
SCA,9,10,30,30,1000,30000,267.71861601777874,12.805147009687836,245.97583674570612,265.5815794316084,302.61693093064696,2.4271895032392243,1.3301336765289309
SCA,10,10,30,30,1000,30000,117.46689870894608,45.03468367003489,100.61966898607308,102.06351182746904,256.39930877813003,2.0496965747344107,1.3372540473937988
SCA,11,10,30,30,1000,30000,176.55369108321284,8.167195884312697,155.55816188907102,174.96278395045942,190.4591036828356,2.246406410108288,1.5941596031188965
SCA,12,10,30,30,1000,30000,170.07222382285298,1.433976647916402,167.54656158216312,170.28175389357148,172.60309502015116,2.2306179274978963,1.7084190845489502
SCA,1,20,30,30,1000,30000,16793.148880838664,4493.135152507825,11314.247522654296,15463.992585743768,29366.42923449135,4.211471883799212,0.6636345386505127
SCA,2,20,30,30,1000,30000,368.74053005824567,97.01217998931872,228.16404453550285,352.5482503231027,618.2862862548156,2.5521114311506325,0.6535255908966064
SCA,3,20,30,30,1000,30000,45.64829911831944,6.271408151487699,33.445610138559005,44.82524801646434,59.6175957502486,1.6552833239670113,0.6681573390960693
SCA,4,20,30,30,1000,30000,143.21626544744757,17.693886938717608,109.8047172603791,141.01657389420689,190.00137357881465,2.152746197942505,0.6341900825500488
SCA,5,20,30,30,1000,30000,1407.5416683933613,344.8598069949715,814.2840114601595,1418.5627761741691,2081.1433621593706,3.1351549459717205,0.7637121677398682
SCA,6,20,30,30,1000,30000,123166879.25138624,99670778.2325213,13141224.873095317,80096509.41096994,332815361.991538,7.954445356374998,0.9098410606384276
SCA,7,20,30,30,1000,30000,148.1311607203228,23.145990981530737,113.47047711199184,149.1162170419684,186.7066242953033,2.1652149903172773,1.559708595275879
SCA,8,20,30,30,1000,30000,71.19231923201997,30.839105124317808,42.0175106476986,62.88969522782236,210.2491294314509,1.8261747584009005,1.459949254989624
SCA,9,20,30,30,1000,30000,300.046125509327,35.07993411575165,242.89402018227884,295.5650621326131,383.7589476455378,2.4743262521112634,1.3369779586791992
SCA,10,20,30,30,1000,30000,1062.627048789926,1627.1113908837722,121.10896332934954,135.76855768137534,4295.890995060074,2.51446030530242,1.3456745147705078
SCA,11,20,30,30,1000,30000,2317.284534345939,342.21591628087026,1519.1431419641783,2422.6314437431924,2819.1266780093674,3.3597409606300697,1.6010007858276367
SCA,12,20,30,30,1000,30000,373.07108384472747,26.803966628183105,320.78039170027887,373.1877486300798,432.402107765261,2.570671235906405,1.7085819244384766
AOA,1,10,30,30,1000,30000,3221.8465166089413,2445.257515732598,155.9027510029581,2982.190423994104,8854.31371967496,3.3179311381650565,0.5127964019775391
AOA,2,10,30,30,1000,30000,84.92801329211244,118.82740742294256,0.9179372553892904,47.64231864016208,489.4839651100119,1.5444020627417951,0.5018846988677979
AOA,3,10,30,30,1000,30000,29.17301531130869,17.12915628142693,6.116416750742928,26.921907484532998,64.0033960236791,1.372591436204227,0.5161399841308594
AOA,4,10,30,30,1000,30000,32.31259844820713,10.416640210854151,12.623714925002789,32.675299290578096,65.78187126342834,1.4876052168206413,0.4824113845825195
AOA,5,10,30,30,1000,30000,489.1346084629973,273.5855976395575,91.15716556946086,504.54138332615867,1147.5428366862106,2.604348973359317,0.5968732833862305
AOA,6,10,30,30,1000,30000,10253.710423463815,10233.782422288969,1679.3586233533106,7265.038697737539,46452.921221733,3.862985103072672,0.7351517677307129
AOA,7,10,30,30,1000,30000,67.71562627666273,30.393976508701645,23.52142267163208,57.1852097063495,135.83081850182316,1.7885933229430016,1.3744757175445557
AOA,8,10,30,30,1000,30000,34.964259941757184,29.657093196562645,5.757604319338498,26.579760302707427,142.59566944893777,1.465299045599436,1.2680258750915527
AOA,9,10,30,30,1000,30000,322.93684893136765,51.909272764264976,229.46320365356905,320.8341708839073,481.97148247399446,2.503697084290813,1.1512949466705322
AOA,10,10,30,30,1000,30000,170.49246285888535,68.62696655740136,100.38956210780088,165.2424136699099,265.17002661384504,2.193737548433035,1.169109582901001
AOA,11,10,30,30,1000,30000,382.0317847056242,313.6981230538451,14.400905816869454,230.61428848835635,1246.7218323357663,2.3866615864304426,1.4207725524902344
AOA,12,10,30,30,1000,30000,190.59824114436464,41.95041472654919,158.87133223815408,170.82025041389488,380.1447711008759,2.272310250566872,1.5347073078155518
AOA,1,20,30,30,1000,30000,18535.914217112306,6015.591620308082,4929.690304314986,18810.957254708635,34258.769808304656,4.239972213456786,0.5139670372009277
AOA,2,20,30,30,1000,30000,511.5446461328558,327.84590239995754,106.00041079117386,396.7660281197721,1708.7186869175862,2.6312107995111083,0.5063750743865967
AOA,3,20,30,30,1000,30000,47.935198323497126,16.292731005683805,18.13529912242848,48.620471542937366,75.57932901087145,1.652807601255158,0.5180401802062988
AOA,4,20,30,30,1000,30000,115.5771173251092,20.180702837688248,82.60290935800003,113.40322492951822,153.49147942937643,2.056155291598148,0.4845385551452636
AOA,5,20,30,30,1000,30000,2212.078623743869,777.7253861766168,1164.1734577406403,2082.9324790304427,5016.4721712363935,3.323587438967168,0.5993115901947021
AOA,6,20,30,30,1000,30000,28556165.40066589,84319493.52121623,4255.491117640681,477204.3284987128,434250124.60695314,5.958920342994673,0.7457764148712158
AOA,7,20,30,30,1000,30000,184.19645677792025,75.25573154308377,56.48020169704114,182.98388288281376,358.9792774806533,2.22518209029154,1.373481035232544
AOA,8,20,30,30,1000,30000,112.96467839670596,81.22394508415127,29.289731821424997,67.99188533253778,329.3619146421684,1.9336416416093256,1.2724049091339111
AOA,9,20,30,30,1000,30000,296.33319924118337,92.94461040270166,195.2452930529325,290.226074583034,646.3713859209402,2.454065972009256,1.1530895233154297
AOA,10,20,30,30,1000,30000,1423.1615698927262,1215.7065515992574,102.51239036659808,1786.7813855174936,3941.959442541359,2.867690627137863,1.1701278686523438
AOA,11,20,30,30,1000,30000,2888.564670571107,1345.414619337318,914.41180082451,2741.5768460382146,5924.288385864369,3.409300445741897,1.4253008365631104
AOA,12,20,30,30,1000,30000,388.8136108182915,126.5806507736881,252.13946105798368,349.44792472128097,811.4636118143058,2.571211262969765,1.5317704677581787
EO,1,10,30,30,1000,30000,1059.831888998032,1486.31772532077,47.42523228116767,201.5098768540439,5000.94632420876,2.517566844296199,0.7701320648193359
EO,2,10,30,30,1000,30000,19.7822056705243,22.25513784493824,0.0033246577040699,10.347083173414376,71.59004244562738,0.8859462120077993,0.7483482360839844
EO,3,10,30,30,1000,30000,2.8626402676254923,3.653824066358792,0.0374378185109662,1.54619859262516,14.048888883721588,0.0424297936086117,0.7577364444732666
EO,4,10,30,30,1000,30000,17.074159065774953,6.433004199844236,6.964893390129987,17.107742359721783,32.92039684538702,1.19811475971617,0.7305564880371094
EO,5,10,30,30,1000,30000,36.50448670457772,41.48735031703159,0.4078697669245912,33.84678260592693,168.41422004703008,1.0882301192977828,0.8523204326629639
EO,6,10,30,30,1000,30000,3592.3637629215536,2348.071906878284,69.77077688890995,3458.7045220727823,6334.318911994154,3.303535986991881,1.0097947120666504
EO,7,10,30,30,1000,30000,39.11680407585066,12.653377323452302,20.02408921923802,37.50898089095449,66.20011710276003,1.5688759329090614,1.6600253582000732
EO,8,10,30,30,1000,30000,26.20170940551561,21.309900627017207,5.907813878616707,22.886800596780176,139.44163218826907,1.3649508215904234,1.5557289123535156
EO,9,10,30,30,1000,30000,255.1277235270149,22.214627235894937,229.28439794143333,262.0439226478913,288.15402247060547,2.405105012319176,1.431141376495361
EO,10,10,30,30,1000,30000,147.93262300229466,58.67196924932111,100.20519463289747,100.4538997046509,249.1177861009205,2.13715080705628,1.4441452026367188
EO,11,10,30,30,1000,30000,247.4340409715561,191.29953248537709,0.2339297933526722,225.60284909550955,598.9152809335146,1.8417177675897063,1.7033395767211914
EO,12,10,30,30,1000,30000,166.46996391321343,5.594714775836467,161.40495508951744,164.934999793815,186.85044829320395,2.2211018338706143,1.82041597366333
EO,1,20,30,30,1000,30000,12090.309712300052,4395.464914561672,5023.990878727722,11801.836567838229,23019.83699283376,4.052033815182356,0.768308162689209
EO,2,20,30,30,1000,30000,130.8232712602533,53.76507830540681,65.57413468430752,113.27247725077564,297.0330586801183,2.085369157326619,0.7522735595703125
EO,3,20,30,30,1000,30000,15.272020104872295,6.538688062214648,5.734187084725249,15.00246285615964,32.745962999973926,1.1417780087339,0.7601490020751953
EO,4,20,30,30,1000,30000,62.91654117372188,18.12365517264151,31.982114794532208,60.82391167936379,118.0065637764817,1.7816451425176365,0.7335855960845947
EO,5,20,30,30,1000,30000,711.3648667084409,313.0842537088069,249.53714019313568,674.2218533460208,1454.9527202245772,2.809663599986915,0.8513576984405518
EO,6,20,30,30,1000,30000,836866.5539761403,3418379.4192322805,263.4935371307429,15727.33250764212,18994440.981795598,4.250556809935598,1.0190463066101074
EO,7,20,30,30,1000,30000,100.54025419205452,59.172012123993504,39.30584694256595,79.89430057886534,235.91516260687516,1.936507291311719,1.662100315093994
EO,8,20,30,30,1000,30000,66.71246108209759,61.19719541037556,23.659590402254707,32.949802831738225,265.9901530020088,1.6826287952348158,1.6092405319213867
EO,9,20,30,30,1000,30000,214.64129438374667,20.360019547184347,189.39464751810328,210.3048905644748,261.5810955086854,2.329828616920281,1.433290958404541
EO,10,20,30,30,1000,30000,1029.6027911483675,728.6351373265978,100.704325796411,1096.1231830830295,2366.76330314997,2.7862834965682515,1.4448604583740234
EO,11,20,30,30,1000,30000,1164.3446406250946,495.4022293335374,528.9429067296219,995.7593417093516,2251.5783080521687,3.029806771992692,1.703040599822998
EO,12,20,30,30,1000,30000,278.99643138549703,20.923069819729896,245.4971993964018,276.0836993381022,333.4646498132961,2.4444147725123795,1.815744400024414
SVOA,1,10,30,30,1000,30000,101.13829665228958,67.9674316626432,6.400564671871962,78.98622559517463,294.94623640650207,1.897234162451868,5.993922710418701
SVOA,2,10,30,30,1000,30000,5.298452010348743,3.760757877229638,0.1607104512476667,6.690679797313152,8.953528597285754,0.4337406469999443,5.584090709686279
SVOA,3,10,30,30,1000,30000,2.608269329322009,1.285058783704472,0.6018454421658816,2.2686548850036843,5.883017515429856,0.3615946043367198,2.923656702041626
SVOA,4,10,30,30,1000,30000,14.14719937024421,5.22832646938553,4.28163628799075,14.331415716438867,22.25082256446637,1.1126063001907365,2.584097385406494
SVOA,5,10,30,30,1000,30000,0.0914445351056997,0.0878084916447686,0.0017815292309251,0.0695277079752259,0.3781626524543071,-1.2880216810478828,2.948458671569824
SVOA,6,10,30,30,1000,30000,5212.272461536699,4105.567429529349,349.34802636022505,3787.174654494048,21621.45577357444,3.605027402442457,4.08039140701294
SVOA,7,10,30,30,1000,30000,34.99866426928228,8.171201084130255,22.642272748063988,36.02106354145474,49.22135568590784,1.532021686825543,6.757406234741211
SVOA,8,10,30,30,1000,30000,26.611756535239,2.2935917974352837,20.726458156972512,26.86767823165405,31.414803224438856,1.423385650321872,6.552148818969727
SVOA,9,10,30,30,1000,30000,230.771047011538,0.8702336386756172,229.48499281238537,230.79443761954872,232.3352333695493,2.363178234259285,9.530201196670532
SVOA,10,10,30,30,1000,30000,100.49303149854046,0.0872440894176599,100.26756751586116,100.4996907150212,100.68150320641736,2.002135783740482,10.733930587768556
SVOA,11,10,30,30,1000,30000,1.604287869364877e-06,2.8868992036194187e-06,4.99871930514928e-08,5.680772119376343e-07,1.548387854199973e-05,-6.186856992016804,9.92578649520874
